HomeTeam,VisitingTeam,Home_Matches_Wo,Visitor_Matches_won,winner,loser,matchdate,scorecrdid,descr,positionplayed,score,winnersTeamName,losersTeamName,hteamid,vteamid,MatchdateOrderBy,PositionOrderBy,ScoreCardIDOrderBy
Boston University,Boston College,0,9,"Stevenson, Samantha S.","Essig, Normandie ",10/23/2019,139665,CSA Women,1,"11-6,11-4,11-1",Boston College,Boston University,25461,25447,10/23/2019,1,139665
Boston University,Boston College,0,9,"Didizian, Sabrina ","Zhao, Rose ",10/23/2019,139665,CSA Women,2,"11-3,11-8,11-2",Boston College,Boston University,25461,25447,10/23/2019,2,139665
Boston University,Boston College,0,9,"Setteducate, Kate A","Valcourt, Arabella ",10/23/2019,139665,CSA Women,3,"11-3,11-3,11-5",Boston College,Boston University,25461,25447,10/23/2019,3,139665
Boston University,Boston College,0,9,"Kacha, Caroline ","Loring, Jackie ",10/23/2019,139665,CSA Women,4,"11-3,11-5,11-6",Boston College,Boston University,25461,25447,10/23/2019,4,139665
Boston University,Boston College,0,9,"Bergman, Claire E.","Patnana, Meghana ",10/23/2019,139665,CSA Women,5,"11-2,11-2,11-3",Boston College,Boston University,25461,25447,10/23/2019,5,139665
Boston University,Boston College,0,9,"Mactaggart, Kelli H.","Kuntz, Gaby ",10/23/2019,139665,CSA Women,6,"11-5,11-8,11-3",Boston College,Boston University,25461,25447,10/23/2019,6,139665
Boston University,Boston College,0,9,"Arturi, Abigail K.","Hess, Julia ",10/23/2019,139665,CSA Women,7,"11-2,11-6,11-3",Boston College,Boston University,25461,25447,10/23/2019,7,139665
Boston University,Boston College,0,9,"Fink, Grace ","Lara, Victoria ",10/23/2019,139665,CSA Women,8,"11-2,11-6,11-5",Boston College,Boston University,25461,25447,10/23/2019,8,139665
Boston University,Boston College,0,9,"Didizian, Christiana ","Aiache Reynaud, Elan ",10/23/2019,139665,CSA Women,9,"11-5,11-8,11-0",Boston College,Boston University,25461,25447,10/23/2019,9,139665
Boston University,Boston College,0,9,"Kozikowski, Kendall ","Garton, Chloe ",10/23/2019,139665,CSA Women,10,"11-4,11-7,11-1",Boston College,Boston University,25461,25447,10/23/2019,10,139665
Northeastern University,Wellesley College,8,1,"Manziaris, Linda E.","Coe, Eunbie ",10/25/2019,136545,CSA Women,1,"11-5,11-8,11-2",Northeastern University,Wellesley College,25425,25420,10/25/2019,1,136545
Northeastern University,Wellesley College,8,1,"Puertas, Sophia ","Quarrier, Isabelle H",10/25/2019,136545,CSA Women,2,"11-7,11-3,11-3",Wellesley College,Northeastern University,25425,25420,10/25/2019,2,136545
Northeastern University,Wellesley College,8,1,"Markgraf, Maggie ","Mankoff, Jill M.",10/25/2019,136545,CSA Women,3,"13-11,11-4,12-10",Northeastern University,Wellesley College,25425,25420,10/25/2019,3,136545
Northeastern University,Wellesley College,8,1,"Gribbel, Sabrina ","Cai, Jacquelyn ",10/25/2019,136545,CSA Women,4,"11-1,11-7,11-2",Northeastern University,Wellesley College,25425,25420,10/25/2019,4,136545
Northeastern University,Wellesley College,8,1,"Bair, Molly ","Yang, Cathy ",10/25/2019,136545,CSA Women,5,"11-3,11-3,11-4",Northeastern University,Wellesley College,25425,25420,10/25/2019,5,136545
Northeastern University,Wellesley College,8,1,"Ho, Ny ","Yu, Sharon ",10/25/2019,136545,CSA Women,6,"11-7,11-3,11-1",Northeastern University,Wellesley College,25425,25420,10/25/2019,6,136545
Northeastern University,Wellesley College,8,1,"Swope, Leah D.","Gan, Jingyuan Donna ",10/25/2019,136545,CSA Women,7,"11-4,11-4,11-3",Northeastern University,Wellesley College,25425,25420,10/25/2019,7,136545
Northeastern University,Wellesley College,8,1,"Jin, Jennifer ","Hau, Abby ",10/25/2019,136545,CSA Women,8,"11-3,11-3,11-2",Northeastern University,Wellesley College,25425,25420,10/25/2019,8,136545
Northeastern University,Wellesley College,8,1,"Zhao, Jacqueline ","Park, Christina ",10/25/2019,136545,CSA Women,9,"11-0,11-4,11-2",Northeastern University,Wellesley College,25425,25420,10/25/2019,9,136545
Northeastern University,Wellesley College,8,1,"Klein, Melissa ",unknown2,10/25/2019,136545,CSA Women,10,"11-4,11-1,11-7",Northeastern University,Wellesley College,25425,25420,10/25/2019,10,136545
Fordham University,Colgate University,3,6,"Johnson, Cristina ","Seebode, Julia ",10/26/2019,140652,CSA Women,1,"11-3,11-0,11-6",Colgate University,Fordham University,25455,25432,10/26/2019,1,140652
Fordham University,Colgate University,3,6,"Hong, Audrey ","Bergin, Emily ",10/26/2019,140652,CSA Women,2,"11-2,11-0,11-0",Colgate University,Fordham University,25455,25432,10/26/2019,2,140652
Fordham University,Colgate University,3,6,"Davidson, Grace ","Hirsch, Miranda ",10/26/2019,140652,CSA Women,3,"11-9,11-6,7-11,13-11",Fordham University,Colgate University,25455,25432,10/26/2019,3,140652
Fordham University,Colgate University,3,6,"Hogan, Jamie ","Popp, Katie ",10/26/2019,140652,CSA Women,4,"11-7,11-2,11-4",Colgate University,Fordham University,25455,25432,10/26/2019,4,140652
Fordham University,Colgate University,3,6,"Davis, Maggie ","Distefano, Olivia ",10/26/2019,140652,CSA Women,5,"11-8,11-1,11-4",Colgate University,Fordham University,25455,25432,10/26/2019,5,140652
Fordham University,Colgate University,3,6,"Westdyk, Caroline ","Gerstein, Samantha ",10/26/2019,140652,CSA Women,6,"5-11,11-9,11-5,11-7",Fordham University,Colgate University,25455,25432,10/26/2019,6,140652
Fordham University,Colgate University,3,6,"Carey, Charlotte G.","Gracheva, Elizaveta ",10/26/2019,140652,CSA Women,7,"11-9,11-1,11-9",Colgate University,Fordham University,25455,25432,10/26/2019,7,140652
Fordham University,Colgate University,3,6,"Manelski, Willis ","Olownia, Brooke ",10/26/2019,140652,CSA Women,8,"11-3,5-11,13-11,12-10",Colgate University,Fordham University,25455,25432,10/26/2019,8,140652
Fordham University,Colgate University,3,6,"Kelso, Sandy ",unknown2,10/26/2019,140652,CSA Women,9,"11-2,11-0,11-0",Fordham University,Colgate University,25455,25432,10/26/2019,9,140652
Fordham University,Colgate University,3,6,unknown1,unknown2,10/26/2019,140652,CSA Women,10,"11-0,11-0,11-0",Fordham University,Colgate University,25455,25432,10/26/2019,10,140652
Fordham University,New York University,6,3,"Wang, Rebecca ","Seebode, Julia ",10/26/2019,140653,CSA Women,1,"11-3,11-8,11-3",New York University,Fordham University,25455,25421,10/26/2019,1,140653
Fordham University,New York University,6,3,"Lim, Johanna ","Bergin, Emily ",10/26/2019,140653,CSA Women,2,"11-3,11-6,11-7",New York University,Fordham University,25455,25421,10/26/2019,2,140653
