HomeTeam,VisitingTeam,Home_Matches_Wo,Visitor_Matches_won,winner,loser,matchdate,scorecrdid,descr,positionplayed,score,winnersTeamName,losersTeamName,hteamid,vteamid,MatchdateOrderBy,PositionOrderBy,ScoreCardIDOrderBy
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Zhu, Daniel S","Countess, Clay ",10/6/2019,135712,CSA Men,1,"11-5,11-6,11-7",Carnegie Mellon University,"Pittsburgh, University of",25543,25521,10/6/2019,1,135712
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Nelson, Sam ","Grant, Adam ",10/6/2019,135712,CSA Men,2,"11-6,11-6,11-4","Pittsburgh, University of",Carnegie Mellon University,25543,25521,10/6/2019,2,135712
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Haggerty, Lucas ","Hagani, Rachel ",10/6/2019,135712,CSA Men,3,"8-11,11-7,10-12,12-10,11-8","Pittsburgh, University of",Carnegie Mellon University,25543,25521,10/6/2019,3,135712
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Marcus, Robert ","Stang, Brendan ",10/6/2019,135712,CSA Men,4,"11-7,11-4,11-8",Carnegie Mellon University,"Pittsburgh, University of",25543,25521,10/6/2019,4,135712
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Meyers, Jacob ","Filosa, Jackson ",10/6/2019,135712,CSA Men,5,"11-3,11-5,11-6",Carnegie Mellon University,"Pittsburgh, University of",25543,25521,10/6/2019,5,135712
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Kim, Ashley ","Stuart, Peyton ",10/6/2019,135712,CSA Men,6,"11-3,14-16,11-3,6-11,11-3",Carnegie Mellon University,"Pittsburgh, University of",25543,25521,10/6/2019,6,135712
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Jain, Punya ","Klatchko, William ",10/6/2019,135712,CSA Men,7,"11-8,11-1,11-5",Carnegie Mellon University,"Pittsburgh, University of",25543,25521,10/6/2019,7,135712
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Perkins, David ","Nakic, Adrian ",10/6/2019,135712,CSA Men,8,"11-4,11-7,11-8","Pittsburgh, University of",Carnegie Mellon University,25543,25521,10/6/2019,8,135712
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Al-Ani, Samer ","Williams, Adam ",10/6/2019,135712,CSA Men,9,"14-12,11-9,14-12",Carnegie Mellon University,"Pittsburgh, University of",25543,25521,10/6/2019,9,135712
"Pittsburgh, University of",Carnegie Mellon University,3,6,"Rannulu, Hasala ","Garrison, Aaron ",10/6/2019,135712,CSA Men,10,"14-16,11-4,11-8,11-9","Pittsburgh, University of",Carnegie Mellon University,25543,25521,10/6/2019,10,135712
Kenyon College,Indiana University Bloomington,1,8,"Sankla, Niraj ","Keyes, Norman ",10/19/2019,140856,CSA Men,1,"11-6,11-5,11-5",Indiana University Bloomington,Kenyon College,25355,25403,10/19/2019,1,140856
Kenyon College,Indiana University Bloomington,1,8,"Mohta, Suyash ",unknown2,10/19/2019,140856,CSA Men,2,"11-6,11-5,11-4",Indiana University Bloomington,Kenyon College,25355,25403,10/19/2019,2,140856
Kenyon College,Indiana University Bloomington,1,8,"Gordon, Colby A.",unknown2,10/19/2019,140856,CSA Men,3,"11-6,11-5,11-3",Indiana University Bloomington,Kenyon College,25355,25403,10/19/2019,3,140856
Kenyon College,Indiana University Bloomington,1,8,"Kapoor, Dhruv ",unknown2,10/19/2019,140856,CSA Men,4,"11-0,11-1,11-3",Indiana University Bloomington,Kenyon College,25355,25403,10/19/2019,4,140856
Kenyon College,Indiana University Bloomington,1,8,"Arora, Dhananjaya ",unknown2,10/19/2019,140856,CSA Men,5,"11-5,11-4,11-6",Indiana University Bloomington,Kenyon College,25355,25403,10/19/2019,5,140856
Kenyon College,Indiana University Bloomington,1,8,"Sureka, Akshat ",unknown2,10/19/2019,140856,CSA Men,6,"11-7,11-3,11-4",Indiana University Bloomington,Kenyon College,25355,25403,10/19/2019,6,140856
Kenyon College,Indiana University Bloomington,1,8,"Meka, Vijaya Lakshman ",unknown2,10/19/2019,140856,CSA Men,7,"11-6,11-9,11-8",Indiana University Bloomington,Kenyon College,25355,25403,10/19/2019,7,140856
Kenyon College,Indiana University Bloomington,1,8,"Sharma, Raunav ",unknown2,10/19/2019,140856,CSA Men,8,"11-0,11-1,11-1",Indiana University Bloomington,Kenyon College,25355,25403,10/19/2019,8,140856
