ELO Rank,College,Points,Wins,Losses,BestWin_1,BestWin_2,BestWin_3,WorstLoss_1,WorstLoss_2,WorstLoss_3,Nationals Results,Significant Difference
1,Harvard University,1244.727832,17,0,(2) Trinity College,"(3) Pennsylvania, University of","(3) Pennsylvania, University of",,,,1,0
2,Trinity College,1203.809428,19,2,"(3) Pennsylvania, University of",(4) Princeton University,(4) Princeton University,"(3) Pennsylvania, University of",(1) Harvard University,,3,-1
3,"Pennsylvania, University of",1203.753562,13,3,(2) Trinity College,(4) Princeton University,(7) Yale University,(2) Trinity College,(1) Harvard University,(1) Harvard University,2,1
4,Princeton University,1165.779491,11,6,"(5) Virginia, University of","(6) Rochester, University of","(6) Rochester, University of",(9) Columbia University,"(3) Pennsylvania, University of",(2) Trinity College,4,0
5,"Virginia, University of",1160.243623,19,5,"(6) Rochester, University of",(7) Yale University,(9) Columbia University,(7) Yale University,(4) Princeton University,(2) Trinity College,5,0
6,"Rochester, University of",1155.60279,11,6,(7) Yale University,(8) Drexel University,(9) Columbia University,(8) Drexel University,"(5) Virginia, University of",(4) Princeton University,6,0
7,Yale University,1154.348949,10,8,"(5) Virginia, University of",(8) Drexel University,(9) Columbia University,(8) Drexel University,"(6) Rochester, University of","(5) Virginia, University of",7,0
8,Drexel University,1149.160136,11,9,"(6) Rochester, University of",(7) Yale University,(9) Columbia University,(13) Franklin and Marshall College,(11) Dartmouth College,(7) Yale University,8,0
9,Columbia University,1148.592185,10,8,(4) Princeton University,(10) Western Ontario,(11) Dartmouth College,(14) George Washington University,(8) Drexel University,(7) Yale University,9,0
10,Western Ontario,1147.064577,11,3,(11) Dartmouth College,(12) Cornell University,(13) Franklin and Marshall College,(9) Columbia University,"(6) Rochester, University of","(5) Virginia, University of",11,-1
11,Dartmouth College,1141.698468,7,9,(8) Drexel University,(12) Cornell University,(14) George Washington University,(12) Cornell University,(10) Western Ontario,(9) Columbia University,12,-1
12,Cornell University,1139.930142,7,11,(11) Dartmouth College,(13) Franklin and Marshall College,(13) Franklin and Marshall College,(11) Dartmouth College,(10) Western Ontario,(9) Columbia University,10,2
13,Franklin and Marshall College,1136.342635,20,6,(8) Drexel University,(15) Brown University,(16) Williams College,(12) Cornell University,(12) Cornell University,(10) Western Ontario,13,0
14,George Washington University,1128.046716,10,13,(9) Columbia University,(16) Williams College,(17) MIT,(15) Brown University,(12) Cornell University,(11) Dartmouth College,15,-1
15,Brown University,1127.331566,7,10,(14) George Washington University,(16) Williams College,(17) MIT,(13) Franklin and Marshall College,(12) Cornell University,(11) Dartmouth College,14,1
16,Williams College,1098.272504,17,9,(18) Middlebury College,(18) Middlebury College,(19) Bates College,(17) MIT,(15) Brown University,(14) George Washington University,17,-1
17,MIT,1096.450366,14,10,(16) Williams College,(18) Middlebury College,(19) Bates College,(23) Amherst College,(15) Brown University,(14) George Washington University,16,1
18,Middlebury College,1083.506586,9,11,(19) Bates College,(20) Naval Academy,(21) Colby College,(20) Naval Academy,(19) Bates College,(17) MIT,18,0
19,Bates College,1082.718725,12,8,(18) Middlebury College,(20) Naval Academy,(21) Colby College,(22) Bowdoin College Men,(18) Middlebury College,(17) MIT,19,0
20,Naval Academy,1079.705026,9,15,(18) Middlebury College,(22) Bowdoin College Men,(25) Dickinson College Men,(19) Bates College,(18) Middlebury College,(17) MIT,20,0
21,Colby College,1073.363113,12,9,(22) Bowdoin College Men,(22) Bowdoin College Men,(23) Amherst College,(22) Bowdoin College Men,(19) Bates College,(19) Bates College,21,0
22,Bowdoin College Men,1070.204291,11,10,(19) Bates College,(21) Colby College,(23) Amherst College,(24) Tufts University Men,(23) Amherst College,(21) Colby College,22,0
23,Amherst College,1069.442761,9,10,(17) MIT,(22) Bowdoin College Men,(24) Tufts University Men,(24) Tufts University Men,(22) Bowdoin College Men,(21) Colby College,23,0
24,Tufts University Men,1062.353503,7,14,(22) Bowdoin College Men,(23) Amherst College,(27) Connecticut College,(25) Dickinson College Men,(23) Amherst College,(23) Amherst College,24,0
25,Dickinson College Men,1061.961303,9,13,(24) Tufts University Men,(26) Hamilton College,(26) Hamilton College,(22) Bowdoin College Men,(21) Colby College,(20) Naval Academy,25,0
26,Hamilton College,1031.512759,11,11,(27) Connecticut College,(28) Wesleyan University,(28) Wesleyan University,(33) St. Lawrence University,(27) Connecticut College,(25) Dickinson College Men,26,0
27,Connecticut College,1029.620656,10,11,(26) Hamilton College,(30) Chatham University,(32) Haverford College,(28) Wesleyan University,(26) Hamilton College,(25) Dickinson College Men,27,0
28,Wesleyan University,1025.293984,10,12,(27) Connecticut College,"(29) California-Berkeley, University of",(30) Chatham University,(31) Boston College,(30) Chatham University,(26) Hamilton College,29,-1
29,"California-Berkeley, University of",1023.945703,9,2,(33) St. Lawrence University,(34) Fordham University,(35) New York University,(28) Wesleyan University,(25) Dickinson College Men,,30,-1
30,Chatham University,1021.449748,13,8,(28) Wesleyan University,(34) Fordham University,(36) Hobart College,(28) Wesleyan University,(27) Connecticut College,(26) Hamilton College,28,2
31,Boston College,1019.212745,5,3,(28) Wesleyan University,(37) Northeastern University,"(41) Chicago, University of",(34) Fordham University,(24) Tufts University Men,(17) MIT,0,31
32,Haverford College,1015.831244,11,8,(33) St. Lawrence University,(34) Fordham University,(36) Hobart College,(33) St. Lawrence University,(28) Wesleyan University,(28) Wesleyan University,31,1
